"unit","direct","na_item","sector","geo","time","values","pcntgdp"
"CP_MEUR","RECV","B9","S13","AT","2011",-7648,-2.48177124740806
"CP_MEUR","RECV","B9","S13","AT","2012",-6892,-2.17695497948444
"CP_MEUR","RECV","B9","S13","AT","2013",-6400,-1.99257764826023
"CP_MEUR","RECV","B9","S13","AT","2014",-6350,-1.92357791550798
"CP_MEUR","RECV","B9","S13","AT","2015",-1632,-0.4770758059424
"CP_MEUR","RECV","B9","S13","AT","2016",-5162,-1.45136167078101
"CP_MEUR","RECV","B9","S13","AT","2017",-2849,-0.77567078234117
"CP_MEUR","RECV","B9","S13","AT","2018",748,0.195181012123141
"CP_MEUR","RECV","B9","S13","AT","2019",2123,0.536508072892317
"CP_MEUR","RECV","B9","S13","AT","2020",-31203,-8.20444996029638
"CP_MEUR","RECV","B9","S13","AT","2021",-23129,-5.6935445755135
"CP_MEUR","RECV","B9","S13","AT","2022",-14814,-3.30663738147533
"CP_MEUR","RECV","B9","S13","AT","2023",-12398,-2.61988432612678
"CP_MEUR","RECV","B9","S14","AT","1995",8977,4.88866137701561
"CP_MEUR","RECV","B9","S14","AT","1996",8429,4.53306085132701
"CP_MEUR","RECV","B9","S14","AT","1997",6704,3.58669541444415
"CP_MEUR","RECV","B9","S14","AT","1998",7565,3.90055015029879
"CP_MEUR","RECV","B9","S14","AT","1999",10235,5.04025804545343
"CP_MEUR","RECV","B9","S14","AT","2000",12719,5.98803240947803
"CP_MEUR","RECV","B9","S14","AT","2001",6961,3.17313434196551
"CP_MEUR","RECV","B9","S14","AT","2002",8656,3.84560705146432
"CP_MEUR","RECV","B9","S14","AT","2003",10116,4.38792063918939
"CP_MEUR","RECV","B9","S14","AT","2004",9853,4.09616615809297
"CP_MEUR","RECV","B9","S14","AT","2005",12631,5.00525053991401
"CP_MEUR","RECV","B9","S14","AT","2006",13819,5.19640211481044
"CP_MEUR","RECV","B9","S14","AT","2007",16768,5.94171674793061
"CP_MEUR","RECV","B9","S14","AT","2008",16588,5.68381954866608
"CP_MEUR","RECV","B9","S14","AT","2009",14725,5.14367354352823
"CP_MEUR","RECV","B9","S14","AT","2010",11506,3.91292666918324
"CP_MEUR","RECV","B9","S14","AT","2011",7153,2.32114405500913
"CP_MEUR","RECV","B9","S14","AT","2012",10393,3.28280515115813
"CP_MEUR","RECV","B9","S14","AT","2013",5923,1.84406834541334
"CP_MEUR","RECV","B9","S14","AT","2014",7263,2.20014903942274
"CP_MEUR","RECV","B9","S14","AT","2015",6946,2.03049543387004
"CP_MEUR","RECV","B9","S14","AT","2016",9258,2.60300394190055
"CP_MEUR","RECV","B9","S14","AT","2017",5437,1.48028151758124
"CP_MEUR","RECV","B9","S14","AT","2018",6304,1.64494799521963
"CP_MEUR","RECV","B9","S14","AT","2019",6431,1.62519237718817
"CP_MEUR","RECV","B9","S14","AT","2020",19644,5.16515126814929
"CP_MEUR","RECV","B9","S14","AT","2021",12170,2.99582504578664
"CP_MEUR","RECV","B9","S14","AT","2022",7934,1.77095051874074
"CP_MEUR","RECV","B9","S14","AT","2023",13663,2.88719789868287
"CP_MEUR","RECV","B9","S15","AT","1995",52,0.0283179672056157
"CP_MEUR","RECV","B9","S15","AT","1996",54,0.0290408454112775
"CP_MEUR","RECV","B9","S15","AT","1997",56,0.0299604628891516
"CP_MEUR","RECV","B9","S15","AT","1998",-80,-0.0412483822900071
"CP_MEUR","RECV","B9","S15","AT","1999",77,0.0379188929653067
"CP_MEUR","RECV","B9","S15","AT","2000",188,0.0885093240806565
"CP_MEUR","RECV","B9","S15","AT","2001",744,0.339148391096443
"CP_MEUR","RECV","B9","S15","AT","2002",771,0.342532698322434
"CP_MEUR","RECV","B9","S15","AT","2003",858,0.372166459907522
"CP_MEUR","RECV","B9","S15","AT","2004",319,0.132617172884569
"CP_MEUR","RECV","B9","S15","AT","2005",504,0.199718650314042
"CP_MEUR","RECV","B9","S15","AT","2006",667,0.250814111772094
"CP_MEUR","RECV","B9","S15","AT","2007",227,0.0804371243905205
"CP_MEUR","RECV","B9","S15","AT","2008",360,0.123352727123209
"CP_MEUR","RECV","B9","S15","AT","2009",226,0.0789453460670546
"CP_MEUR","RECV","B9","S15","AT","2010",141,0.0479508656661599
"CP_MEUR","RECV","B9","S15","AT","2011",136,0.0441319154873818
"CP_MEUR","RECV","B9","S15","AT","2012",-9,-0.00284280249787579
"CP_MEUR","RECV","B9","S15","AT","2013",-265,-0.0825051682482752
"CP_MEUR","RECV","B9","S15","AT","2014",359,0.108750310498797
"CP_MEUR","RECV","B9","S15","AT","2015",-117,-0.0342021257936647
"CP_MEUR","RECV","B9","S15","AT","2016",-276,-0.0776008952219217
"CP_MEUR","RECV","B9","S15","AT","2017",542,0.147565308539457
"CP_MEUR","RECV","B9","S15","AT","2018",379,0.0988951919714848
"CP_MEUR","RECV","B9","S15","AT","2019",26,0.00657051808535103
"CP_MEUR","RECV","B9","S15","AT","2020",613,0.161180906504557
"CP_MEUR","RECV","B9","S15","AT","2021",1165,0.286781937415073
"CP_MEUR","RECV","B9","S15","AT","2022",691,0.154238317172908
"CP_MEUR","RECV","B9","S15","AT","2023",105,0.0221880830975409
"CP_MEUR","RECV","B9","S2","AT","1995",4913,2.67550332463827
"CP_MEUR","RECV","B9","S2","AT","1996",5237,2.81642421146038
"CP_MEUR","RECV","B9","S2","AT","1997",4657,2.49153349419249
"CP_MEUR","RECV","B9","S2","AT","1998",4070,2.09851144900411
"CP_MEUR","RECV","B9","S2","AT","1999",5052,2.48787334104843
"CP_MEUR","RECV","B9","S2","AT","2000",1926,0.906749777549704
